judge,artist,album,vote
E14,短裤里的诗歌,我还喜欢你,2
E14,许廷铿,拾,0
E14,鬼卞,无间,0
E14,刘柏辛,无限意识Meta Ego,0
E14,鲁向卉,时间/木马,0
E14,AR刘夫阳,校园寓言故事,0
E14,熊仔/豹子胆,梦想成真,0
E14,橘子海,浪潮上岸,2
E14,苏紫旭,混乱之子,3
E14,脏手指,滥情三部曲,0
E14,百合花,烧金蕉,3
E14,王若琳,爱的呼唤,0
E14,郑宜农,给天王星,0
E14,邱比,至繁,3
E14,发光曲线,荒野星,2
E14,魏如萱,藏着并不等于遗忘,3
E14,伍佰&China Blue,让水倒流,3
E14,杨乃文,越美丽越看不见,2
E14,郁可唯,路过人间,0
E14,群星,过春天 电影原声碟,0
E14,懒惰致富集团,飞艇计划,0
E14,陈蕾,1029,0
E15,佛跳墙,BJ肆,0
E15,Robynn & Kendy,Curations,0
E15,吉克隽逸,Global Citizen世界公民Ⅲ,0
E15,陈珊妮,Juvenile A,0
E15,缺省,Life In A Vacuum,2
E15,小尘埃,Little By Little,0
E15,邓小巧,No Coincidence,0
E15,Gong Gong Gong 工工工,Phantom Rhythm 幽灵节奏,1
E15,威神V WayV,Take Off (The 1st Mini Album),0
E15,谢安琪/麦浚龙,The Album And The Rest Of It,0
E15,粉红A,为艺术牺牲,1
E15,丢莱卡,健忘的平原,0
E15,全家福合唱团,全家福II,8
E15,养鸡,养鸡的梦境,0
E15,小老虎,北京吗,0
E15,张雄关,危险地带,1
E15,宫阁,即将上映,0
E15,傻子与白痴,夜长梦少,0
E15,Howie Lee,天地不仁,0
E15,吴青峰,太空人,3
E15,许哲佩,失物之城,0
E15,丁世光,实况电影,0
E15,周华健,少年,0
E15,莫宰羊,幻想曲,3
E15,倒车入库,庸人自扰,0
E15,Ice Paper,成语接龙,0
E15,梁静茹,我好吗? - 太阳如常升起,0
E15,家家,我想要的,0
E15,短裤里的诗歌,我还喜欢你,1
E15,许廷铿,拾,0
E15,鬼卞,无间,0
E15,刘柏辛,无限意识Meta Ego,0
E15,鲁向卉,时间/木马,0
E15,AR刘夫阳,校园寓言故事,0
